School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile
Vanderbilt University,Yes,2021,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,9.1%,1460-1560,33-35
Claremont McKenna College,Yes,2021,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,10.3%,1360-1510,31-34
Johns Hopkins University,Yes,2021,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,10.6%,1470-1560,33-35
Cornell University,Yes,2021,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,10.9%,1400-1560,32-35
Rice University,Yes,2021,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,11.1%,1450-1560,33-35
Amherst College,Yes,2021,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,11.3%,1410-1550,31-34
Barnard College,Yes,2021,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,11.8%,1340-1520,31-34
Bates College,Yes,All / Permanent Policy,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,12.1%,1270-1480,29-33
University of California—​Los Angeles,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,12.3%,1290-1510,27-34
Tulane University,Yes,2021,Tulane has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,42185,12.9%,1360-1520,31-33
University of Southern California,Yes,2021,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,13.0%,1350-1530,30-34
Williams College,Yes,2021,Williams College has adopted a one-year test optional policy for first-time international and transfer applicants in the 2020-21 admission cycle. Williams college does not offer merit-based aid.,9560,13.0%,1410-1550,32-35
Colby College,Yes,All / Permanent Policy,Colby College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.,12313,13.0%,1350-1510,31-33
Pitzer College,Yes,All / Permanent Policy,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,13.3%,1340-1490,30-33
Colorado College,Yes,All / Permanent Policy,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,13.5%,1300-1480,29-33
Harvey Mudd College,Yes,2021,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,13.7%,1490-1570,33-35
Georgetown University,Yes,2021,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,14.5%,1370-1530,31-34
University of California—​Berkeley,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,14.8%,1300-1530,28-34
Tufts University,Yes,2021 2022 2023,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,15.0%,1390-1540,32-34
Washington University in St. Louis,Yes,2021,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,15.0%,1470-1570,32-35
Middlebury College,Yes,2021 2022 2023,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,15.4%,1360-1530,32-34
Carnegie Mellon University,Yes,2021,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,15.4%,1460-1560,33-35
University of Notre Dame,Yes,2021,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,15.8%,1400-1550,32-35
The Cooper Union,Yes,2021 2022,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,16.0%,1283-1510,31-34
New York University,Yes,2021,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,16.2%,1370-1510,30-34
Haverford College,Yes,2021 2022 2023,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,16.3%,1380-1540,32-34
Wesleyan University,Yes,All / Permanent Policy,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,16.5%,1320-1510,31-34
Hamilton College,Yes,2021,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,16.5%,1370-1520,32-34
Northeastern University,Yes,2021,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,18.1%,1390-1540,32-35
Davidson College,Yes,2021 2022 2023,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,18.1%,1310-1485,30-33
Emory University,Yes,2021,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,18.5%,1350-1520,31-34
Carleton College,Yes,2021,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,19.0%,1360-1540,31-34
Georgia Institute of Technology,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,20.6%,1300-1510,29-34
Washington and Lee University,Yes,2021,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,21.2%,1348-1490,31-34
Wellesley College,Yes,2021,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,21.6%,1360-1530,31-34
Boston University,Yes,2021,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,22.1%,1330-1500,30-33
Colgate University,Yes,2021,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,22.6%,1330-1500,31-34
University of North Carolina—​Chapel Hill,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,22.6%,1300-1490,27-33
University of Michigan—​Ann Arbor,Yes,2021,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,22.9%,1340-1530,31-34
Vassar College,Yes,2021,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,23.7%,1370-1530,31-34
Rhode Island School of Design,Yes,All / Permanent Policy,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,23.9%,1180-1440,26-32
University of Virginia,Yes,2021,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,23.9%,1340-1500,30-34
Grinnell College,Yes,2021,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,24.4%,1370-1530,30-34
Babson College,Yes,2021,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,24.0%,1270-1450,28-32
University of California—​Irvine,Yes (TB),2021 2022 2023 2024,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,26.5%,1180-1440,--
University of Miami,Yes,2021,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,27.1%,1280-1420,29-32
Boston College,Yes,2021,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,27.2%,1370-1490,31-34
Villanova University,Yes,2021,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,28.2%,1320-1470,31-34
University of Richmond,Yes,2021,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,28.3%,1290-1460,30-33
California State Polytechnic University—​San Luis Obispo,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,54072,28.4%,1250-1420,26-32
Trinity University,Yes,2021 2022 2023,Trinity University has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Trinity will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,9864,28.8%,1290-1450,29-32
Case Western Reserve University,Yes,2021,Case Western Reserve has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. Case Western Reserve will determine policies for future classes in winter 2020-21.,26642,29.3%,1350-1520,30-34
University of Rochester,Yes,All / Permanent Policy,The University of Rochester offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,20216,29.5%,1300-1500,29-33
University of California—​Santa Barbara,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,93457,29.6%,1260-1460,25-33
Wake Forest University,Yes,All / Permanent Policy,Wake Forest offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12559,29.6%,1320-1490,30-33
Skidmore College,Yes,All / Permanent Policy,Skidmore College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,11102,30.0%,1220-1400,28-32
University of California—​San Diego,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,97901,30.2%,1250-1470,26-33
Franklin and Marshall College,Yes,All / Permanent Policy,Franklin and Marshall College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. Franklin and Marshall does not offer merit-based aid.,9502,30.4%,1250-1460,28-32
Brandeis University,Yes,All / Permanent Policy,Brandeis University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,11798,31.1%,1280-1500,29-33
Lafayette College,Yes,2021,Lafayette College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,8521,31.5%,1250-1440,28-33
American University,Yes,All / Permanent Policy,American University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Homeschooled students are highly encouraged to submit 2 SAT Subject test scores.,18984,31.5%,1220-1380,27-31
University of Texas—​Austin,Yes,2021,The University of Texas--Austin has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,53525,31.8%,1240-1470,27-33
Scripps College,Yes,All / Permanent Policy,Scripps offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3022,32.0%,1333-1490,30-33
Lehigh University,Yes,2021,Lehigh has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15649,32.1%,1280-1450,29-33
Macalester College,Yes,All / Permanent Policy,Macalester College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Macalester recommends that homeschooled students and students who attend high schools that do not provide grades submit SAT or ACT scores.,6598,32.3%,1320-1510,29-33
Smith College,Yes,All / Permanent Policy,Smith College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,5597,32.5%,1340-1520,30-33
Bryn Mawr College,Yes,All / Permanent Policy,Bryn Mawr offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,3332,33.1%,1290-1510,29-33
Trinity College (Hartford),Yes,All / Permanent Policy,Trinity offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6096,33.5%,1300-1460,29-32
Denison University,Yes,All / Permanent Policy,Denison offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,8042,33.9%,1210-1380,28-31
San Diego State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,69842,34.0%,1110-1320,22-29
Kenyon College,Yes,2021,Kenyon has adopted a one-year test optional policy for applicants both domestic and international in the 2020-21 admission cycle.,6662,34.1%,1270-1460,29-33
College of the Holy Cross,Yes,All / Permanent Policy,The College of the Holy Cross offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,7200,34.2%,1260-1430,28-32
Bucknell University,Yes,2021 2022 2023 2024 2025,Bucknell University adopted a five-year test optional policy for first-year students beginning with the 2020-21 admission cycle. However homeschooled students and international students are not eligible for test optional admission. Bucknell will use the five-year pilot period to assess the patterns of success for test score submitters and non-submitters.,9845,34.2%,1255-1430,28-32
Emerson College,Yes,All / Permanent Policy,Emerson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,12941,35.6%,1200-1390,27-31
Pepperdine University,Yes,2021,Pepperdine University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,11265,35.7%,1220-1420,26-32
Hampton University,Yes*,All / Permanent Policy,Hampton University requires either the SAT or ACT however they will waive this requirement for students with a 3.3+ GPA or who rank in the top 10% of their class. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,13028,36.0%,1040-1310,19-24
Oberlin College,Yes,2021 2022 2023,Oberlin College has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Oberlin will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,7708,36.4%,1280-1480,29-33
CUNY--Hunter,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,31030,36.4%,1090-1260,--
Occidental College,Yes,2021,Occidental has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,7501,36.7%,1300-1480,28-32
Connecticut College,Yes,All / Permanent Policy,Connecticut College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,6784,37.4%,1310-1450,30-33
College of William and Mary,Yes,2021 2022 2023,William and Mary has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,14680,37.7%,1320-1510,30-34
Mount Holyoke College,Yes,All / Permanent Policy,Mount Holyoke College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3908,38.2%,1270-1490,27-32
Berea College,Yes,2021,Berea College has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,1576,38.2%,1030-1213,22-27
Pratt Institute,Yes,2021,The Pratt Institute has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,7941,38.5%,1100-1320,26-30
Soka University of America,Yes,2021,Soka University has adopted a one-year test optional policy for students applying for the Fall 2021 semester.,464,38.8%,1180-1410,27-30
California State University--Los Angeles,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,39854,39.0%,890-1080,15-20
California State University--Long Beach,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,71297,39.3%,1040-1250,20-26
Reed College,Yes (TB),2021 2022,Reed has adopted a two-year test blind admission policy which means students' SAT and ACT scores will not be considered as part of their application review.,5815,39.5%,1325-1520,30-34
Binghamton University—​SUNY,Yes,2021,Binghamton University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,38755,39.8%,1310-1440,28-32
Dickinson College,Yes,All / Permanent Policy,Dickinson College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,6426,40.1%,1240-1410,28-32
University of Tulsa,Yes,2021,University of Tulsa has adopted a one-year test optional policy for first-year applicants entering in the Spring and Fall of 2021.,8526,40.8%,1180-1410,25-32
George Washington University,Yes,All / Permanent Policy,George Washington University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants applying to the accelerated Seven-Year B.A./M.D. Program students who attend secondary schools that do not provide letter grades homeschooled students and recruited NCAA Division 1 athletes are not eligible for test optional admission.,26968,40.9%,1280-1470,29-33
University of California—​Davis,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,76647,41.2%,1150-1410,25-31
Stevens Institute of Technology,Yes,2021,Stevens Institute of Technology has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However homeschooled students and students applying to the Pre-Med and Pre-Law programs are not eligible for test optional admissions.,9265,41.4%,1330-1480,30-33
St. Lawrence University,Yes,All / Permanent Policy,St. Lawrence offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,6998,42.4%,1160-1350,24-30
Union College (Schenectady NY),Yes,All / Permanent Policy,Union College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and those applying for the Leadership in Medicine program or the 3+3 Accelerated Law Program are not eligible for test optional admission.,6086,42.9%,1220-1420,27-32
Rensselaer Polytechnic Institute,Yes,2021,Rensselaer has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.,20402,43.0%,1330-1500,29-33
Bentley University,Yes,2021,Bentley University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9252,43.2%,1240-1410,28-32
CUNY--Baruch College,Yes (TB),2021,The CUNY system has adopted a one-year Test Blind policy for students applying to the Spring 2021 Fall 2021 and Spring 2022 semesters.,20303,43.4%,1130-1330,--
Spelman College,Yes,2021,Spelman has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,9106,43.4%,1080-1230,22-26
Loyola Marymount University,Yes,2021,Loyola Marymount University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,18592,43.8%,1230-1410,27-31
University of Maryland—​College Park,Yes,2021,University of Maryland--College Park has adopted a one-year test optional policy for students applying for the Spring and Fall 2021 semesters.,32987,44.1%,1280-1480,29-33
Stony Brook University—​SUNY,Yes,2021,Stony Brook University (SUNY) has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,37079,44.1%,1230-1440,26-32
Rhodes College,Yes,2021 2022 2023,Rhodes College has adopted a three-year test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5207,44.7%,1220-1430,27-32
North Carolina State University—​Raleigh,Yes,2021,NC State has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,30995,44.9%,1250-1390,27-31
Baylor University,Yes,2021,Baylor University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,34582,45.3%,1200-1380,26-32
University of Dallas,Yes,2021,University of Dallas has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4676,45.3%,1150-1360,24-30
Gettysburg College,Yes,All / Permanent Policy,Gettysburg College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.,6269,45.4%,1270-1420,26-30
Fordham University,Yes,2021 2022,Fordham University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Fordham will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,46308,46.0%,1250-1430,28-32
Texas Christian University,Yes,2021,Texas Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19028,47.1%,1150-1350,25-31
Southern Methodist University,Yes,2021,Southern Methodist University has adopted a one-year test optional policy for the 2020-21 admission cycle.,13959,47.3%,1300-1480,29-33
Providence College,Yes,All / Permanent Policy,Providence College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,11478,47.5%,1210-1350,27-31
St. Olaf College,Yes,All / Permanent Policy,St. Olaf College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5694,47.5%,1190-1430,26-32
University of New Mexico,Yes,All / Permanent Policy,UNM offers a test optional policy which allows students to be considered for admission without test scores. However home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.,12281,48.6%,1040-1270,19-25
University of Georgia,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,26027,48.6%,1240-1410,27-32
University of San Diego,Yes,All / Permanent Policy,University of San Diego offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13755,48.7%,1200-1350,26-31
University of Connecticut,Yes,2021 2022 2023,Unversity of Connecticut has adopted a three-year test optional policy for all students beginning with the 2020-2021 admission cycle.,34886,48.8%,1210-1420,26-31
Santa Clara University,Yes,2021 2022,Santa Clara University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Santa Clara will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,16300,48.8%,1280-1440,28-32
Southwestern University,Yes,All / Permanent Policy,Southwestern University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,4766,49.0%,1140-1320,23-29
Pennsylvania State University—​University Park,Yes,2021,Pennsylvania State University--College Park has adopted a one-year test optional policy for students entering in the Summer and Fall of 2021.,71903,49.1%,1160-1370,25-30
Marist College,Yes,All / Permanent Policy,Marist College offers a test optional policy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students applying to some programs are not eligible for test optional admission.,11260,49.2%,1210-1360,26-31
The College of New Jersey,Yes,2021 2022 2023,The College of New Jersey has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,13824,49.3%,1160-1360,25-30
Worcester Polytechnic Institute,Yes,All / Permanent Policy,Worcester Polytechnic Institute offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10645,49.4%,1310-1470,29-33
Syracuse University,Yes,2021,Syracuse has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,34981,49.9%,1180-1370,25-30
University of La Verne,Yes,All / Permanent Policy,University of La Verne offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores.,7276,50.9%,1020-1205,20-26
Clemson University,Yes,2021,Clemson has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29070,51.3%,1230-1400,27-32
Austin College,Yes,All / Permanent Policy,Austin College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,4360,51.3%,1110-1290,24-29
University of California—​Santa Cruz,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,51.5%,1200-1360,24-30
University of Washington--Seattle,Yes,All / Permanent Policy,The University of Washington--Seattle offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,45579,51.8%,1240-1440,27-33
California State University--Fullerton,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,52.7%,1030-1200,19-24
University of Wisconsin—​Madison,Yes,2021 2022,The University of Wisiconsin--Madison has adopted temporary test optional policy for students applying through Summer 2023.,43921,53.0%,1330-1450,27-32
Colorado School of Mines,Yes,2021,Colorado School of Mines has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,11756,53.1%,1260-1460,27-33
